agency_id,fare_id,price,currency_type,payment_method,transfers
3,0,3,BOB,0,0
5,1,3,BOB,0,0
2,2,3,BOB,0,0
1,3,3,BOB,0,0
6,4,7,BOB,0,0
7,5,7,BOB,0,0
7,6,2.5,BOB,0,0
8,7,3,BOB,0,0
9,8,3,BOB,0,0
10,9,3,BOB,0,0
11,10,3,BOB,0,0
12,11,3,BOB,0,0
13,12,3,BOB,0,0
14,13,3,BOB,0,0
15,14,3,BOB,0,0
19,15,3,BOB,0,0
20,16,3,BOB,0,0
21,17,3,BOB,0,0
22,18,3,BOB,0,0
23,19,3,BOB,0,0
24,20,3,BOB,0,0
25,21,3,BOB,0,0
26,22,3,BOB,0,0
27,23,3,BOB,0,0
28,24,3,BOB,0,0
29,25,3,BOB,0,0
30,26,3,BOB,0,0
31,27,3,BOB,0,0
34,28,3,BOB,0,0
35,29,3,BOB,0,0
36,30,3,BOB,0,0
39,31,3,BOB,0,0
7,32,3,BOB,0,0
40,33,3,BOB,0,0
41,34,6,BOB,0,0
42,35,3,BOB,0,0
44,36,15,BOB,0,0
