route_id,agency_id,route_short_name,route_long_name,route_color,route_type
0,0,270,MiniBus 270,,3
1,0,260,MiniBus 260,,3
2,1,201,MiniBus 201,,3
3,2,205,MiniBus 205,,3
4,3,B,MicroBus B,,3
5,3,A,MicroBus A,,3
6,1,203,MicroBus 203,,3
7,3,C,MicroBus C,,3
8,4,211,MiniBus 211,,3
9,3,E,MicroBus E,,3
10,5,106,Trufi 106,,3
11,4,290,Trufi 290,,3
12,3,LL,MicroBus LL,,3
13,2,W,MicroBus W,,3
14,3,G,MicroBus G,,3
15,3,H,MicroBus H,,3
16,1,Q,MicroBus Q,,3
17,6,Teleférico,Teleferico Teleférico,ffff00,3
18,7,Verde,Línea Verde,00cc00,0
19,7,Roja,Línea Roja,ff0000,0
20,8,16,MiniBus 16,,3
21,9,R,MicroBus R,,3
22,8,1,MiniBus 1,,3
23,9,136,Trufi 136,,3
24,10,102,Trufi 102,,3
25,11,108,Trufi 108,,3
26,10,10,MiniBus 10,,3
27,12,1001,Trufi 1001,,3
28,12,101,Trufi 101,,3
29,2,104,Trufi 104,,3
30,13,107,Trufi 107,,3
31,14,109,Trufi 109,,3
32,10,121,Trufi 121,,3
33,15,M,MicroBus M,,3
34,10,11,MiniBus 11,,3
35,16,Z12,MiniBus Z12,,3
36,17,232,MiniBus 232,,3
37,18,240,MiniBus 240,,3
38,18,230,Trufi 230,,3
39,2,252,Trufi 252,,3
40,1,200,MicroBus 200,,3
41,19,118,Trufi 118,,3
42,20,116,Trufi 116,,3
43,3,Y,MicroBus Y,,3
44,21,Taquiña,Trufi Taquiña,,3
45,22,113,Trufi 113,,3
46,23,01,Trufi 01,,3
47,8,03,Trufi 03,,3
48,24,010,Trufi 010,,3
49,10,45,MiniBus 45,,3
50,3,3V,MicroBus 3V,,3
51,24,112,Trufi 112,,3
52,25,114,Trufi 114,,3
53,3,122,Trufi 122,,3
54,24,134,Trufi 134,,3
55,13,135,Trufi 135,,3
56,26,311,Trufi 311,,3
57,27,119,Trufi 119,,3
58,12,123,Trufi 123,,3
59,28,012,Trufi 012,,3
60,20,115,Trufi 115,,3
61,3,160,MiniBus 160,,3
62,18,233,MiniBus 233,,3
63,17,220,MicroBus 220,,3
64,10,6,MiniBus 6,,3
65,13,125,Trufi 125,,3
66,29,131,Trufi 131,,3
67,30,19,MiniBus 19,,3
68,10,2,MiniBus 2,,3
69,25,20,MiniBus 20,,3
70,31,130,Trufi 130,,3
71,1,202,MiniBus 202,,3
72,3,I,MicroBus I,,3
73,9,P,Trufi P,,3
74,10,110,Trufi 110,,3
75,32,111,Trufi 111,,3
76,17,212,MiniBus 212,,3
77,33,210,MiniBus 210,,3
78,4,209,MiniBus 209,,3
79,34,207,MiniBus 207,,3
80,2,206,MiniBus 206,,3
81,2,46,MiniBus 46,,3
82,35,51,MiniBus 51,,3
83,3,X10,MicroBus X10,,3
84,3,S,MicroBus S,,3
85,9,T,MicroBus T,,3
86,8,8,MiniBus 8,,3
87,10,9,MiniBus 9,,3
88,8,14,MiniBus 14,,3
89,8,15,MiniBus 15,,3
90,13,103,Trufi 103,,3
91,8,5,MiniBus 5,,3
92,29,132,Trufi 132,,3
93,3,K,MicroBus K,,3
94,25,18,MiniBus 18,,3
95,13,31,MiniBus 31,,3
96,10,35,MiniBus 35,,3
97,18,N,MiniBus N,,3
98,28,O,MicroBus O,,3
99,3,U,MicroBus U,,3
100,8,13,MiniBus 13,,3
101,16,17,MiniBus 17,,3
102,8,36,MiniBus 36,,3
103,30,40,MiniBus 40,,3
104,25,52,MiniBus 52,,3
105,16,120,Trufi 120,,3
106,36,133,MiniBus 133,,3
107,11,138,Trufi 138,,3
108,37,150,Trufi 150,,3
109,34,217,MiniBus 217,,3
110,18,241,MiniBus 241,,3
111,2,204,MiniBus 204,,3
112,4,208,MiniBus 208,,3
113,38,265,MiniBus 265,,3
114,8,27,MiniBus 27,,3
115,39,261,MiniBus 261,,3
116,17,244,MiniBus 244,,3
117,18,242,MiniBus 242,,3
118,8,43,MiniBus 43,,3
119,10,3,MiniBus 3,,3
120,0,245,MiniBus 245,,3
121,3,F,MicroBus F,,3
122,3,L,MicroBus L,,3
123,11,148,Trufi 148,,3
124,8,39,MicroBus 39,,3
125,22,50,MiniBus 50,,3
126,40,137,Trufi 137,,3
127,16,250,MiniBus 250,,3
128,41,A,Línea Amarilla,FFFF00,0
129,42,Punata,Trufi Punata,,3
130,16,16,Trufi 16,,3
131,16,127,Trufi 127,,3
132,42,25,Trufi 25,,3
133,42,80,MicroBus 80,,3
134,42,150,Trufi 150,,3
135,41,Amarilla,Línea Amarilla,FFC300,0
136,42,Santiváñez,Trufi Santiváñez,,3
137,2,M,Trufi M,,3
138,0,Calama,Trufi Calama,,3
139,43,Cotapachi,Trufi Cotapachi,,3
140,42,241,241,,3
