stop_id,stop_name,stop_lat,stop_lon,stop_desc
13760954848,Avenida Pantaleón Dalence y Avenida Carlos Blanco Galindo,-17.391853,-66.2194095,21(0-1-109-11-111-112-113-115-120-13-16-2-3-6-71-77-78-79-8-80-84)
13760954847,Avenida Pantaleón Dalence y Avenida Carlos Blanco Galindo,-17.3917333,-66.2193982,21(0-1-109-11-111-112-113-115-120-13-16-2-3-6-71-77-78-79-8-80-84)
560084525,Avenida Pantaleón Dalence,-17.3907472,-66.2193249,1(0)
560084538,Avenida Pantaleón Dalence y Avenida Gualberto Villarroel,-17.3879977,-66.2190863,1(0)
10949082233,Avenida Gualberto Villarroel,-17.3880015,-66.2189722,1(0)
12057371322,Avenida Gualberto Villarroel,-17.3881524,-66.217895,1(0)
560084544,Calle Oscar Alfaro,-17.3876202,-66.2151642,1(0)
560437361,Calle Oscar Alfaro,-17.3872088,-66.2139469,1(0)
6473960769,Rotonda SEMAPA,-17.3872369,-66.2129365,1(0)
560437365,Innominada,-17.3870887,-66.2128842,1(0)
5273124363,Innominada,-17.3862887,-66.2127649,1(0)
560437383,Innominada,-17.3857112,-66.212454,1(0)
8298143570,Innominada,-17.3857882,-66.2114383,1(0)
794269915,Innominada,-17.3859746,-66.2094765,1(0)
3906979365,Innominada,-17.3857679,-66.2090948,1(0)
794270133,Innominada,-17.3854936,-66.2089886,1(0)
2357131276,Prolongación d'Orbigny,-17.3843508,-66.2089333,2(0-82)
794269985,Avenida Tadeo Haenke,-17.3831788,-66.2085683,1(0)
4939137059,Avenida Tadeo Haenke,-17.3832263,-66.207988,1(0)
560437408,Avenida Tadeo Haenke,-17.3832218,-66.2078941,2(0-64)
3259851995,Avenida Tadeo Haenke,-17.383244,-66.2074925,2(0-64)
560437409,Avenida Tadeo Haenke y Calle Cardenal Richard James Cushing,-17.3831945,-66.2067507,4(0-106-124-64)
560437426,Avenida Tadeo Haenke y Calle Benito María Moxó,-17.3827307,-66.2051492,2(0-85)
560437441,Avenida Tadeo Haenke,-17.3813087,-66.2025621,2(0-85)
4939137073,Avenida Tadeo Haenke,-17.3812704,-66.2024917,2(0-85)
3259850425,Avenida Tadeo Haenke,-17.3810772,-66.2020602,2(0-85)
3259850424,Avenida Tadeo Haenke,-17.3810635,-66.2019376,2(0-85)
560437451,Avenida Tadeo Haenke,-17.3810853,-66.2017426,2(0-85)
560437449,Avenida Tadeo Haenke,-17.3811614,-66.2011346,2(0-85)
7996545533,Avenida Tadeo Haenke y Calle Andrés S. Muñoz,-17.381278,-66.2000246,4(0-106-12-85)
500197952,Avenida Tadeo Haenke y Avenida Juan Pablo II,-17.3813915,-66.198996,4(0-12-85-9)
4173325861,Avenida Tadeo Haenke,-17.3817027,-66.1965314,3(0-12-85)
7996508745,Avenida Tadeo Haenke y Rotonda Tadeo Haenke y Segunda,-17.3816961,-66.1962712,3(0-12-85)
9343473300,Rotonda Tadeo Haenke y Segunda,-17.3817084,-66.1962582,3(0-12-85)
9343473299,Rotonda Tadeo Haenke y Segunda,-17.3817182,-66.1962431,3(0-12-85)
9343473296,Rotonda Tadeo Haenke y Segunda,-17.3817172,-66.1961409,3(0-12-85)
7996508777,Rotonda Tadeo Haenke y Segunda y Avenida Tadeo Haenke,-17.3817025,-66.1961209,3(0-12-85)
4984179003,Avenida Tadeo Haenke,-17.3817536,-66.1951582,3(0-12-85)
2744376496,Avenida Tadeo Haenke,-17.3817702,-66.1948757,3(0-12-85)
9019031992,Avenida Tadeo Haenke,-17.3818584,-66.19456,3(0-12-85)
560437466,Avenida Tadeo Haenke y Calle Juan Claure,-17.3818959,-66.1944911,4(0-12-124-85)
3523802595,Avenida Tadeo Haenke,-17.3819551,-66.1943884,3(0-124-85)
2137733248,Avenida Tadeo Haenke,-17.3820194,-66.1942102,3(0-124-85)
4984179005,Avenida Tadeo Haenke,-17.3820529,-66.1938479,3(0-124-85)
698491972,Avenida Tadeo Haenke y Puente Tadeo Haenke y Luis Zegarra,-17.3821023,-66.1932274,4(0-124-47-85)
682384958,Puente Tadeo Haenke y Luis Zegarra y Calle Luis Zegarra y Avenida Tadeo Haenke,-17.3819709,-66.1932123,4(0-124-47-85)
2147365676,Calle Luis Zegarra,-17.3803142,-66.1929651,2(0-47)
